epoch,train_loss,val_loss,acc,precision,recall,f1,auc
1,0.5736382678802785,0.7322858567601321,0.5923028124339184,0.8369565217391305,0.3245210727969349,0.4676974047487576,0.7625405246094902
2,0.5295582409473851,0.5692707508223483,0.7272150560372171,0.7247956403269755,0.8153256704980842,0.7673999278759466,0.7844277012036691
3,0.5135919598842618,0.5144890484123213,0.758722774370903,0.7927461139896373,0.7620689655172413,0.777104903301426,0.8255571286246133
4,0.490353945610127,0.5633096651904084,0.7322901247621062,0.7545454545454545,0.7632183908045977,0.7588571428571429,0.8000119336273345
5,0.4713844232210497,0.5742934817649625,0.7348276591245506,0.8150557620817844,0.6720306513409962,0.7366652666946661,0.8162340726757904
6,0.45258845184704305,0.5540039556075793,0.7377881158807359,0.7435988620199147,0.8011494252873563,0.7713021025451863,0.8103556763383292
7,0.4240338954390312,0.5516727454960346,0.7284838232184394,0.765625,0.732183908045977,0.7485311398354877,0.8035554976955441
8,0.3865894707185881,0.6294629636371659,0.7060689363501798,0.7232796486090776,0.757088122605364,0.739797828528641,0.7603572132448798
9,0.3347481523067541,0.6857437828124652,0.7352505815182914,0.7325342465753425,0.8195402298850575,0.7735985533453887,0.796319289623711
10,0.26956981605876407,0.7130337352612736,0.7187566081624022,0.7627257799671593,0.7118773946360153,0.7364248910027745,0.7919896430579738
